FIRSTBOXNUM_BATTERYNUM,VOLTAGEVALUE,TEMPREATUREVALUE,RECEIVETIME,
3_17,3.312,0,2015-12-01 14:13:38.0,
3_18,3.313,0,2015-12-01 14:13:38.0,
3_19,3.312,0,2015-12-01 14:13:38.0,
3_20,3.312,0,2015-12-01 14:13:38.0,
3_21,3.311,0,2015-12-01 14:13:38.0,
3_22,3.312,0,2015-12-01 14:13:38.0,
3_23,3.312,0,2015-12-01 14:13:38.0,
3_24,3.31,0,2015-12-01 14:13:38.0,
4_1,3.311,60,2015-12-01 14:13:38.0,
4_2,3.312,60,2015-12-01 14:13:38.0,
4_3,3.312,0,2015-12-01 14:13:38.0,
4_4,3.311,0,2015-12-01 14:13:38.0,
4_5,3.311,0,2015-12-01 14:13:38.0,
4_6,3.312,0,2015-12-01 14:13:38.0,
4_7,3.312,0,2015-12-01 14:13:38.0,
4_8,3.31,0,2015-12-01 14:13:38.0,
4_9,3.312,0,2015-12-01 14:13:38.0,
4_10,3.312,0,2015-12-01 14:13:38.0,
4_11,3.312,0,2015-12-01 14:13:38.0,
4_12,3.312,0,2015-12-01 14:13:38.0,
4_13,3.312,0,2015-12-01 14:13:38.0,
4_14,3.313,0,2015-12-01 14:13:38.0,
4_15,3.313,0,2015-12-01 14:13:38.0,
4_16,3.312,0,2015-12-01 14:13:38.0,
5_1,3.311,61,2015-12-01 14:13:38.0,
5_2,3.312,60,2015-12-01 14:13:38.0,
5_3,3.312,0,2015-12-01 14:13:38.0,
5_4,3.311,0,2015-12-01 14:13:38.0,
5_5,3.312,0,2015-12-01 14:13:38.0,
5_6,3.312,0,2015-12-01 14:13:38.0,
5_7,3.312,0,2015-12-01 14:13:38.0,
5_8,3.312,0,2015-12-01 14:13:38.0,
5_9,3.312,0,2015-12-01 14:13:38.0,
5_10,3.312,0,2015-12-01 14:13:38.0,
5_11,3.31,0,2015-12-01 14:13:38.0,
5_12,3.31,0,2015-12-01 14:13:38.0,
5_13,3.309,0,2015-12-01 14:13:38.0,
5_14,3.312,0,2015-12-01 14:13:38.0,
5_15,3.312,0,2015-12-01 14:13:38.0,
5_16,3.312,0,2015-12-01 14:13:38.0,
5_17,3.312,0,2015-12-01 14:13:38.0,
5_18,3.312,0,2015-12-01 14:13:38.0,
5_19,3.312,0,2015-12-01 14:13:38.0,
5_20,3.312,0,2015-12-01 14:13:38.0,
5_21,3.311,0,2015-12-01 14:13:38.0,
5_22,3.312,0,2015-12-01 14:13:38.0,
5_23,3.312,0,2015-12-01 14:13:38.0,
5_24,3.311,0,2015-12-01 14:13:38.0,
6_1,3.313,60,2015-12-01 14:13:38.0,
6_2,3.315,60,2015-12-01 14:13:38.0,
6_3,3.315,0,2015-12-01 14:13:38.0,
6_4,3.313,0,2015-12-01 14:13:38.0,
6_5,3.315,0,2015-12-01 14:13:38.0,
6_6,3.315,0,2015-12-01 14:13:38.0,
6_7,3.315,0,2015-12-01 14:13:38.0,
6_8,3.315,0,2015-12-01 14:13:38.0,
6_9,3.315,0,2015-12-01 14:13:38.0,
6_10,3.315,0,2015-12-01 14:13:38.0,
6_11,3.314,0,2015-12-01 14:13:38.0,
6_12,3.312,0,2015-12-01 14:13:38.0,
6_13,3.309,0,2015-12-01 14:13:38.0,
6_14,3.311,0,2015-12-01 14:13:38.0,
6_15,3.312,0,2015-12-01 14:13:38.0,
6_16,3.312,0,2015-12-01 14:13:38.0,
6_17,3.312,0,2015-12-01 14:13:38.0,
6_18,3.312,0,2015-12-01 14:13:38.0,
6_19,3.312,0,2015-12-01 14:13:38.0,
6_20,3.311,0,2015-12-01 14:13:38.0,
6_21,3.31,0,2015-12-01 14:13:38.0,
6_22,3.312,0,2015-12-01 14:13:38.0,
6_23,3.312,0,2015-12-01 14:13:38.0,
6_24,3.31,0,2015-12-01 14:13:38.0,
7_1,3.313,60,2015-12-01 14:13:38.0,
7_2,3.315,59,2015-12-01 14:13:38.0,
7_3,3.314,0,2015-12-01 14:13:38.0,
7_4,3.313,0,2015-12-01 14:13:38.0,
7_5,3.313,0,2015-12-01 14:13:38.0,
7_6,3.314,0,2015-12-01 14:13:38.0,
7_7,3.314,0,2015-12-01 14:13:38.0,
7_8,3.313,0,2015-12-01 14:13:38.0,
7_9,3.308,0,2015-12-01 14:13:38.0,
7_10,3.309,0,2015-12-01 14:13:38.0,
7_11,3.309,0,2015-12-01 14:13:38.0,
7_12,3.309,0,2015-12-01 14:13:38.0,
7_13,3.308,0,2015-12-01 14:13:38.0,
7_14,3.309,0,2015-12-01 14:13:38.0,
7_15,3.309,0,2015-12-01 14:13:38.0,
7_16,3.308,0,2015-12-01 14:13:38.0,
8_1,3.31,59,2015-12-01 14:13:38.0,
8_2,3.311,59,2015-12-01 14:13:38.0,
8_3,3.31,0,2015-12-01 14:13:38.0,
8_4,3.31,0,2015-12-01 14:13:38.0,
8_5,3.31,0,2015-12-01 14:13:38.0,
8_6,3.31,0,2015-12-01 14:13:38.0,
8_7,3.31,0,2015-12-01 14:13:38.0,
8_8,3.31,0,2015-12-01 14:13:38.0,
8_9,3.309,0,2015-12-01 14:13:38.0,
8_10,3.31,0,2015-12-01 14:13:38.0,
8_11,3.31,0,2015-12-01 14:13:38.0,
8_12,3.309,0,2015-12-01 14:13:38.0,
8_13,3.309,0,2015-12-01 14:13:38.0,
8_14,3.309,0,2015-12-01 14:13:38.0,
8_15,3.309,0,2015-12-01 14:13:38.0,
8_16,3.309,0,2015-12-01 14:13:38.0,
9_1,3.31,60,2015-12-01 14:13:38.0,
9_2,3.311,60,2015-12-01 14:13:38.0,
9_3,3.312,0,2015-12-01 14:13:38.0,
9_4,3.31,0,2015-12-01 14:13:38.0,
9_5,3.31,0,2015-12-01 14:13:38.0,
9_6,3.312,0,2015-12-01 14:13:38.0,
9_7,3.312,0,2015-12-01 14:13:38.0,
9_8,3.31,0,2015-12-01 14:13:38.0,
9_9,3.313,0,2015-12-01 14:13:38.0,
9_10,3.313,0,2015-12-01 14:13:38.0,
9_11,3.313,0,2015-12-01 14:13:38.0,
9_12,3.313,0,2015-12-01 14:13:38.0,
9_13,3.313,0,2015-12-01 14:13:38.0,
9_14,3.313,0,2015-12-01 14:13:38.0,
9_15,3.314,0,2015-12-01 14:13:38.0,
9_16,3.312,0,2015-12-01 14:13:38.0,
5_13,3.31,0,2015-12-01 14:43:39.0,
5_14,3.312,0,2015-12-01 14:43:39.0,
5_15,3.312,0,2015-12-01 14:43:39.0,
5_16,3.312,0,2015-12-01 14:43:39.0,
5_17,3.312,0,2015-12-01 14:43:39.0,
5_18,3.312,0,2015-12-01 14:43:39.0,
5_19,3.312,0,2015-12-01 14:43:39.0,
5_20,3.312,0,2015-12-01 14:43:39.0,
5_21,3.31,0,2015-12-01 14:43:39.0,
5_22,3.311,0,2015-12-01 14:43:39.0,
5_23,3.312,0,2015-12-01 14:43:39.0,
5_24,3.31,0,2015-12-01 14:43:39.0,
6_1,3.313,64,2015-12-01 14:43:39.0,
6_2,3.315,62,2015-12-01 14:43:39.0,
6_3,3.315,0,2015-12-01 14:43:39.0,
6_4,3.313,0,2015-12-01 14:43:39.0,
6_5,3.315,0,2015-12-01 14:43:39.0,
6_6,3.315,0,2015-12-01 14:43:39.0,
6_7,3.315,0,2015-12-01 14:43:39.0,
6_8,3.314,0,2015-12-01 14:43:39.0,
6_9,3.315,0,2015-12-01 14:43:39.0,
6_10,3.314,0,2015-12-01 14:43:39.0,
6_11,3.314,0,2015-12-01 14:43:39.0,
6_12,3.313,0,2015-12-01 14:43:39.0,
6_13,3.31,0,2015-12-01 14:43:39.0,
6_14,3.311,0,2015-12-01 14:43:39.0,
6_15,3.312,0,2015-12-01 14:43:39.0,
6_16,3.312,0,2015-12-01 14:43:39.0,
6_17,3.312,0,2015-12-01 14:43:39.0,
6_18,3.312,0,2015-12-01 14:43:39.0,
6_19,3.312,0,2015-12-01 14:43:39.0,
6_20,3.312,0,2015-12-01 14:43:39.0,
6_21,3.31,0,2015-12-01 14:43:39.0,
6_22,3.312,0,2015-12-01 14:43:39.0,
6_23,3.312,0,2015-12-01 14:43:39.0,
6_24,3.31,0,2015-12-01 14:43:39.0,
7_1,3.313,62,2015-12-01 14:43:39.0,
7_2,3.314,62,2015-12-01 14:43:39.0,
7_3,3.314,0,2015-12-01 14:43:39.0,
7_4,3.313,0,2015-12-01 14:43:39.0,
7_5,3.313,0,2015-12-01 14:43:39.0,
7_6,3.313,0,2015-12-01 14:43:39.0,
7_7,3.313,0,2015-12-01 14:43:39.0,
7_8,3.313,0,2015-12-01 14:43:39.0,
7_9,3.308,0,2015-12-01 14:43:39.0,
7_10,3.309,0,2015-12-01 14:43:39.0,
7_11,3.309,0,2015-12-01 14:43:39.0,
7_12,3.31,0,2015-12-01 14:43:39.0,
7_13,3.308,0,2015-12-01 14:43:39.0,
7_14,3.309,0,2015-12-01 14:43:39.0,
7_15,3.309,0,2015-12-01 14:43:39.0,
7_16,3.309,0,2015-12-01 14:43:39.0,
8_1,3.31,62,2015-12-01 14:43:39.0,
8_2,3.31,61,2015-12-01 14:43:39.0,
8_3,3.311,0,2015-12-01 14:43:39.0,
8_4,3.309,0,2015-12-01 14:43:39.0,
8_5,3.31,0,2015-12-01 14:43:39.0,
8_6,3.31,0,2015-12-01 14:43:39.0,
8_7,3.311,0,2015-12-01 14:43:39.0,
8_8,3.311,0,2015-12-01 14:43:39.0,
8_9,3.309,0,2015-12-01 14:43:39.0,
8_10,3.31,0,2015-12-01 14:43:39.0,
8_11,3.31,0,2015-12-01 14:43:39.0,
8_12,3.31,0,2015-12-01 14:43:39.0,
8_13,3.309,0,2015-12-01 14:43:39.0,
8_14,3.31,0,2015-12-01 14:43:39.0,
8_15,3.31,0,2015-12-01 14:43:39.0,
8_16,3.309,0,2015-12-01 14:43:39.0,
9_1,3.31,64,2015-12-01 14:43:39.0,
9_2,3.311,62,2015-12-01 14:43:39.0,
9_3,3.311,0,2015-12-01 14:43:39.0,
9_4,3.31,0,2015-12-01 14:43:39.0,
9_5,3.311,0,2015-12-01 14:43:39.0,
9_6,3.311,0,2015-12-01 14:43:39.0,
9_7,3.312,0,2015-12-01 14:43:39.0,
9_8,3.31,0,2015-12-01 14:43:39.0,
9_9,3.312,0,2015-12-01 14:43:39.0,
9_10,3.313,0,2015-12-01 14:43:39.0,
9_11,3.313,0,2015-12-01 14:43:39.0,
9_12,3.313,0,2015-12-01 14:43:39.0,
9_13,3.312,0,2015-12-01 14:43:39.0,
9_14,3.315,0,2015-12-01 14:43:39.0,
9_15,3.315,0,2015-12-01 14:43:39.0,
9_16,3.313,0,2015-12-01 14:43:39.0,
1_1,3.312,64,2015-12-01 14:43:39.0,
1_2,3.312,64,2015-12-01 14:43:39.0,
1_3,3.312,0,2015-12-01 14:43:39.0,
1_4,3.312,0,2015-12-01 14:43:39.0,
1_5,3.312,0,2015-12-01 14:43:39.0,
1_6,3.312,0,2015-12-01 14:43:39.0,
1_7,3.312,0,2015-12-01 14:43:39.0,
1_8,3.312,0,2015-12-01 14:43:39.0,
1_9,3.31,0,2015-12-01 14:43:39.0,
1_10,3.312,0,2015-12-01 14:43:39.0,
1_11,3.312,0,2015-12-01 14:43:39.0,
1_12,3.312,0,2015-12-01 14:43:39.0,
1_13,3.31,0,2015-12-01 14:43:39.0,
1_14,3.312,0,2015-12-01 14:43:39.0,
1_15,3.312,0,2015-12-01 14:43:39.0,
1_16,3.31,0,2015-12-01 14:43:39.0,
2_1,3.31,62,2015-12-01 14:43:39.0,
2_2,3.311,62,2015-12-01 14:43:39.0,
2_3,3.311,0,2015-12-01 14:43:39.0,
2_4,3.31,0,2015-12-01 14:43:39.0,
2_5,3.311,0,2015-12-01 14:43:39.0,
2_6,3.311,0,2015-12-01 14:43:39.0,
2_7,3.311,0,2015-12-01 14:43:39.0,
2_8,3.31,0,2015-12-01 14:43:39.0,
2_9,3.312,0,2015-12-01 14:43:39.0,
2_10,3.312,0,2015-12-01 14:43:39.0,
2_11,3.312,0,2015-12-01 14:43:39.0,
2_12,3.311,0,2015-12-01 14:43:39.0,
2_13,3.31,0,2015-12-01 14:43:39.0,
2_14,3.312,0,2015-12-01 14:43:39.0,
2_15,3.312,0,2015-12-01 14:43:39.0,
2_16,3.312,0,2015-12-01 14:43:39.0,
3_1,3.312,62,2015-12-01 14:43:39.0,
3_2,3.313,62,2015-12-01 14:43:39.0,
3_3,3.312,0,2015-12-01 14:43:39.0,
3_4,3.312,0,2015-12-01 14:43:39.0,
3_5,3.313,0,2015-12-01 14:43:39.0,
3_6,3.313,0,2015-12-01 14:43:39.0,
3_7,3.313,0,2015-12-01 14:43:39.0,
3_8,3.312,0,2015-12-01 14:43:39.0,
3_9,3.312,0,2015-12-01 14:43:39.0,
3_10,3.312,0,2015-12-01 14:43:39.0,
3_11,3.312,0,2015-12-01 14:43:39.0,
3_12,3.312,0,2015-12-01 14:43:39.0,
3_13,3.31,0,2015-12-01 14:43:39.0,
3_14,3.312,0,2015-12-01 14:43:39.0,
3_15,3.312,0,2015-12-01 14:43:39.0,
3_16,3.312,0,2015-12-01 14:43:39.0,
3_17,3.312,0,2015-12-01 14:43:39.0,
3_18,3.312,0,2015-12-01 14:43:39.0,
3_19,3.312,0,2015-12-01 14:43:39.0,
3_20,3.312,0,2015-12-01 14:43:39.0,
3_21,3.31,0,2015-12-01 14:43:39.0,
3_22,3.312,0,2015-12-01 14:43:39.0,
3_23,3.312,0,2015-12-01 14:43:39.0,
3_24,3.31,0,2015-12-01 14:43:39.0,
4_1,3.311,62,2015-12-01 14:43:39.0,
4_2,3.312,62,2015-12-01 14:43:39.0,
4_3,3.312,0,2015-12-01 14:43:39.0,
4_4,3.311,0,2015-12-01 14:43:39.0,
4_5,3.311,0,2015-12-01 14:43:39.0,
4_6,3.312,0,2015-12-01 14:43:39.0,
4_7,3.312,0,2015-12-01 14:43:39.0,
4_8,3.311,0,2015-12-01 14:43:39.0,
4_9,3.312,0,2015-12-01 14:43:39.0,
4_10,3.313,0,2015-12-01 14:43:39.0,
4_11,3.312,0,2015-12-01 14:43:39.0,
4_12,3.312,0,2015-12-01 14:43:39.0,
4_13,3.312,0,2015-12-01 14:43:39.0,
4_14,3.312,0,2015-12-01 14:43:39.0,
4_15,3.313,0,2015-12-01 14:43:39.0,
4_16,3.312,0,2015-12-01 14:43:39.0,
5_1,3.311,64,2015-12-01 14:43:39.0,
5_2,3.312,62,2015-12-01 14:43:39.0,
5_3,3.312,0,2015-12-01 14:43:39.0,
5_4,3.31,0,2015-12-01 14:43:39.0,
5_5,3.312,0,2015-12-01 14:43:39.0,
5_6,3.312,0,2015-12-01 14:43:39.0,
5_7,3.312,0,2015-12-01 14:43:39.0,
5_8,3.312,0,2015-12-01 14:43:39.0,
5_9,3.312,0,2015-12-01 14:43:39.0,
5_10,3.312,0,2015-12-01 14:43:39.0,
5_11,3.31,0,2015-12-01 14:43:39.0,
5_12,3.31,0,2015-12-01 14:43:39.0,
5_22,3.249,0,2015-12-01 15:13:41.0,
5_23,3.252,0,2015-12-01 15:13:41.0,
5_24,3.252,0,2015-12-01 15:13:41.0,
6_1,3.252,65,2015-12-01 15:13:41.0,
6_2,3.252,64,2015-12-01 15:13:41.0,
6_3,3.251,0,2015-12-01 15:13:41.0,
6_4,3.238,0,2015-12-01 15:13:41.0,
